1.0632 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.1428 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
14.7239 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f83ce3926a0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f83c80b7430>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1680, 1050]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.7244 	EXP 	window1: mouseVisible = True
14.7313 	EXP 	window1: mouseVisible = False
14.7314 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.7314 	EXP 	window1: recordFrameIntervals = False
14.8886 	EXP 	window1: recordFrameIntervals = True
15.0723 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
15.0723 	EXP 	window1: recordFrameIntervals = False
16.5101 	EXP 	window1: mouseVisible = True
16.5321 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
16.5354 	EXP 	window1: mouseVisible = True
16.5510 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider_2', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
16.7001 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
16.7054 	EXP 	Created unnamed ImageStim = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05142857, 0.02095238]), texRes=128, units='height', win=Window(...))
16.7061 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
16.7063 	EXP 	New trial (rep=0, index=0): None
16.7226 	EXP 	slider: autoLog = True
16.7226 	EXP 	slider: markerPos = None
16.7226 	EXP 	slider: styleTweaks = []
16.7226 	EXP 	slider: styleTweaks = []
16.7226 	EXP 	slider: styleTweaks = []
16.7226 	EXP 	slider: styleTweaks = []
16.7226 	EXP 	slider: contrast = 1.0
16.7226 	EXP 	slider: autoLog = True
16.7226 	EXP 	slider_2: autoLog = True
16.7226 	EXP 	slider_2: markerPos = None
16.7226 	EXP 	slider_2: styleTweaks = []
16.7226 	EXP 	slider_2: styleTweaks = []
16.7226 	EXP 	slider_2: styleTweaks = []
16.7226 	EXP 	slider_2: styleTweaks = []
16.7226 	EXP 	slider_2: contrast = 1.0
16.7226 	EXP 	slider_2: autoLog = True
16.7226 	EXP 	textbox: autoLog = True
16.7226 	EXP 	slider: markerPos = None
16.7226 	EXP 	slider: markerPos = None
16.7226 	EXP 	slider_2: markerPos = None
16.7226 	EXP 	slider_2: markerPos = None
16.7226 	EXP 	slider: autoDraw = True
16.7226 	EXP 	slider_2: autoDraw = True
16.7226 	EXP 	textbox: autoDraw = True
16.7226 	EXP 	slider_2: autoDraw = True
16.7345 	EXP 	slider_2: autoDraw = True
16.7478 	EXP 	slider_2: autoDraw = True
16.7593 	EXP 	slider_2: autoDraw = True
16.7722 	EXP 	slider_2: autoDraw = True
16.7840 	EXP 	slider_2: autoDraw = True
16.7953 	EXP 	slider_2: autoDraw = True
16.8094 	EXP 	slider_2: autoDraw = True
16.8256 	EXP 	slider_2: autoDraw = True
16.8424 	EXP 	slider_2: autoDraw = True
16.8582 	EXP 	slider_2: autoDraw = True
16.8748 	EXP 	slider_2: autoDraw = True
16.8916 	EXP 	slider_2: autoDraw = True
16.9094 	EXP 	slider_2: autoDraw = True
16.9256 	EXP 	slider_2: autoDraw = True
16.9423 	EXP 	slider_2: autoDraw = True
16.9584 	EXP 	slider_2: autoDraw = True
16.9762 	EXP 	slider_2: autoDraw = True
16.9923 	EXP 	slider_2: autoDraw = True
17.0102 	EXP 	slider_2: autoDraw = True
17.0262 	EXP 	slider_2: autoDraw = True
17.0428 	EXP 	slider_2: autoDraw = True
17.0596 	EXP 	slider_2: autoDraw = True
17.0765 	EXP 	slider_2: autoDraw = True
17.0929 	EXP 	slider_2: autoDraw = True
17.1099 	EXP 	slider_2: autoDraw = True
17.1263 	EXP 	slider_2: autoDraw = True
17.1429 	EXP 	slider_2: autoDraw = True
17.1598 	EXP 	slider_2: autoDraw = True
17.1758 	EXP 	slider_2: autoDraw = True
17.1935 	EXP 	slider_2: autoDraw = True
17.2099 	EXP 	slider_2: autoDraw = True
17.2271 	EXP 	slider_2: autoDraw = True
17.2439 	EXP 	slider_2: autoDraw = True
17.2599 	EXP 	slider_2: autoDraw = True
17.2766 	EXP 	slider_2: autoDraw = True
17.2959 	EXP 	slider_2: autoDraw = True
17.3105 	EXP 	slider_2: autoDraw = True
17.3271 	EXP 	slider_2: autoDraw = True
17.3442 	EXP 	slider_2: autoDraw = True
17.3602 	EXP 	slider_2: autoDraw = True
17.3770 	EXP 	slider_2: autoDraw = True
17.3930 	EXP 	slider_2: autoDraw = True
17.4105 	EXP 	slider_2: autoDraw = True
17.4269 	EXP 	slider_2: autoDraw = True
17.4441 	EXP 	slider_2: autoDraw = True
17.4605 	EXP 	slider_2: autoDraw = True
17.4776 	EXP 	slider_2: autoDraw = True
17.4934 	EXP 	slider_2: autoDraw = True
17.5112 	EXP 	slider_2: autoDraw = True
17.5327 	EXP 	slider_2: autoDraw = True
17.5466 	EXP 	slider_2: autoDraw = True
17.5603 	EXP 	slider_2: autoDraw = True
17.5770 	EXP 	slider_2: autoDraw = True
17.5933 	EXP 	slider_2: autoDraw = True
17.6106 	EXP 	slider_2: autoDraw = True
17.6263 	EXP 	slider_2: autoDraw = True
17.6443 	EXP 	slider_2: autoDraw = True
17.6609 	EXP 	slider_2: autoDraw = True
17.6780 	EXP 	slider_2: autoDraw = True
17.6945 	EXP 	slider_2: autoDraw = True
17.7109 	EXP 	slider_2: autoDraw = True
17.7267 	EXP 	slider_2: autoDraw = True
17.7455 	EXP 	slider_2: autoDraw = True
17.7609 	EXP 	slider_2: autoDraw = True
17.7778 	EXP 	slider_2: autoDraw = True
17.7943 	EXP 	slider_2: autoDraw = True
17.8114 	EXP 	slider_2: autoDraw = True
17.8276 	EXP 	slider_2: autoDraw = True
17.8431 	EXP 	slider_2: autoDraw = True
17.8614 	EXP 	slider_2: autoDraw = True
17.8783 	EXP 	slider_2: autoDraw = True
17.8948 	EXP 	slider_2: autoDraw = True
17.9105 	EXP 	slider_2: autoDraw = True
17.9305 	EXP 	slider_2: autoDraw = True
17.9449 	EXP 	slider_2: autoDraw = True
17.9614 	EXP 	slider_2: autoDraw = True
17.9780 	EXP 	slider_2: autoDraw = True
17.9950 	EXP 	slider_2: autoDraw = True
18.0116 	EXP 	slider_2: autoDraw = True
18.0274 	EXP 	slider_2: autoDraw = True
18.0447 	EXP 	slider_2: autoDraw = True
18.0614 	EXP 	slider_2: autoDraw = True
18.0786 	EXP 	slider_2: autoDraw = True
18.0952 	EXP 	slider_2: autoDraw = True
